book_id,isbn,authors,original_publication_year,title
3159,0307098222,Betty Crocker,1969,Betty Crocker's Cookbook
3160,0312367465,Gabrielle Zevin,2005,Elsewhere
3161,0525952276,Harlan Coben,2012,Stay Close
3162,0316117366,"James Patterson, Michael Ledwidge",2007,The Quickie
3163,0316013943,"James Patterson, Michael Ledwidge",2007,"Step on a Crack (Michael Bennett, #1)"
3164,0803738552,Holly Goldberg Sloan,2013,Counting by 7s
3165,0061284475,Claudia Gray,2010,"Hourglass (Evernight, #3)"
3166,0345490657,Laurell K. Hamilton,2000,"A Kiss of Shadows (Merry Gentry, #1)"
3167,0743453964,Vince Flynn,2003,"Executive Power (Mitch Rapp, #6)"
3168,0001423368886,"Nora Roberts, Angela Dawe",2010,"Savor the Moment (Bride Quartet, #3)"
3169,0001599869691,Richard Connell,1924,The Most Dangerous Game
3170,0765319853,Cory Doctorow,2008,Little Brother
3171,0001400095921,Jeff Lindsay,2005,"Dearly Devoted Dexter (Dexter, #2)"
3172,0062509594,"Jalaluddin Rumi, Coleman Barks",1273,The Essential Rumi
3173,000147671777X,Lisa Genova,2015,Inside the O'Briens
3174,0765348802,Steven Erikson,2001,"Memories of Ice (The Malazan Book of the Fallen, #3)"
3175,0553807056,Dean Koontz,2008,"Odd Hours (Odd Thomas, #4)"
3176,0451220897,Rachel Caine,2007,"The Dead Girls' Dance (The Morganville Vampires, #2)"
3177,000141690817X,Tamora Pierce,1996,"The Realms of the Gods (Immortals, #4)"
3178,0765317583,William R. Forstchen,2009,"One Second After (After, #1)"
3179,0439656249,Suzanne Collins,2005,"Gregor and the Curse of the Warmbloods (Underland Chronicles, #3)"
3180,0374193681,David Levithan,2011,The Lover's Dictionary
3181,0155050907,"Helen Gardner, Fred S. Kleiner, Christin J. Mamiya",1926,Art Through the Ages 
3182,0001857231325,Terry Brooks,1985,"The Wishsong of Shannara (The Original Shannara Trilogy, #3)"
3183,0373772327,Gena Showalter,2008,The Darkest Kiss (Lords of the Underworld #2)
3184,0553805495,Sarah Addison Allen,2008,The Sugar Queen
3185,0983157227,Jennifer L. Armentrout,2012,"Pure (Covenant, #2)"
3186,0007189885,Chimamanda Ngozi Adichie,2003,Purple Hibiscus
3187,0743299396,Miranda July,2005,No One Belongs Here More Than You
3188,0345522486,Kevin Hearne,2011,"Hammered (The Iron Druid Chronicles, #3)"
3189,0001416509887,Kresley Cole,2006,No Rest for the Wicked (Immortals After Dark #3)
3190,0001416599398,Vince Flynn,2008,"Extreme Measures (Mitch Rapp, #11)"
3191,0001632150778,"Brian K. Vaughan, Fiona Staples",2014,"Saga, Vol. 4 (Saga, #4)"
3192,0001476759545,Jamie McGuire,2013,"A Beautiful Wedding (Beautiful, #2.5)"
3193,0307272591,Carl Hiaasen,2013,Bad Monkey
3194,0001400068312,Curtis Sittenfeld,2013,Sisterland
3195,0001594488878,Nick Hornby,2009,"Juliet, Naked"
3196,0001558749209,"Jack Canfield, Mark Victor Hansen",1993,Chicken Soup for the Soul
3197,0349116652,Alexander McCall Smith,2000,"Tears of the Giraffe (No. 1 Ladies' Detective Agency, #2)"
3198,000044661758X,Michael Connelly,1994,"The Concrete Blonde (Harry Bosch, #3; Harry Bosch Universe, #3)"
3199,,C.J. Roberts,2012,"Seduced in the Dark (The Dark Duet, #2)"
3200,0061051586,Terry Pratchett,1998,Carpe Jugulum (Discworld #23; Witches #6)
3201,,Kresley Cole,2006,The Warlord Wants Forever (Immortals After Dark #1)
3202,000038533351X,Kurt Vonnegut Jr.,1987,Bluebeard
3203,0684847817,"Brian Froud, Terry Windling",1998,Good Faeries/Bad Faeries
3204,0316043877,Elin Hilderbrand,2010,The Island
3205,0451822196,"Stephen King, Bernie Wrightson",1983,Cycle of the Werewolf
3206,0142401099,Jane Yolen,1988,The Devil's Arithmetic
3207,0312347294,Alan Weisman,2007,The World Without Us
3208,0375708278,Erik Larson,1999,"Isaac's Storm: A Man, a Time, and the Deadliest Hurricane in History"
3209,0316334529,Elin Hilderbrand,2015,The Rumor
3210,0141184272,Virginia Woolf,1928,Orlando
3211,000000723368X,Cecelia Ahern,2008,Thanks for the Memories
3212,0140432108,"Anne Brontë, Angeline Goreau",1847,Agnes Grey
3213,0399153721,Nora Roberts,2006,Angels Fall
3214,0001416595163,Vince Flynn,2009,"Pursuit of Honor (Mitch Rapp, #12)"
3215,0312362153,Sherrilyn Kenyon,2008,Acheron (Dark-Hunter #14)
3216,000038541305X,Pat Conroy,2009,South of Broad
3217,0676977731,Ami McKay,2006,The Birth House
3218,0001416953582,Lisa McMann,2009,"Fade (Wake, #2)"
3219,0001400031699,Donna Tartt,2002,The Little Friend
3220,0001423113497,Rick Riordan,2008,"Percy Jackson and the Olympians (Percy Jackson and the Olympians, #1-3)"
3221,0803733062,Ingrid Law,2008,"Savvy (Savvy, #1)"
3222,000034551176X,Bill Simmons,2009,The Book of Basketball: The NBA According to The Sports Guy
3223,0446613355,James Patterson,2004,"London Bridges (Alex Cross, #10)"
3224,,عائض القرني,2003,لا تحزن
3225,0008173711461,"A.P.J. Abdul Kalam, Arun Tiwari",1999,Wings of Fire: An Autobiography
3226,0062113933,"L.J. Smith, Kevin Williamson, Julie Plec",2011,"The Ripper (The Vampire Diaries: Stefan's Diaries, #4)"
3227,000159420411X,Nate Silver,2012,The Signal and the Noise: Why So Many Predictions Fail - But Some Don't
3228,0399160302,Ruta Sepetys,2016,Salt to the Sea
3229,000157912626X,Agatha Christie,1942,"The Body in the Library (Miss Marple, #3)"
3230,0618212906,Gary Russell,2002,The Lord of the Rings: The Art of The Fellowship of the Ring
3231,0001402244428,Olivia Cunning,2010,"Backstage Pass (Sinners on Tour, #1)"
3232,0448421658,"Marjorie Flack, Kurt Wiese",1933,The Story About Ping
3233,0001416986561,Rachel Renée Russell,2010,"Tales from a Not-So-Popular Party Girl (Dork Diaries, #2)"
3234,0060885386,"Laura Ingalls Wilder, Garth Williams",1933,"Farmer Boy (Little House, #3)"
3235,0001591842808,Simon Sinek,2009,Start with Why: How Great Leaders Inspire Everyone to Take Action
3236,0001400065941,Fannie Flagg,2013,The All-Girl Filling Station's Last Reunion
3237,0452287057,Dorothy Allison,1992,Bastard Out of Carolina
3238,0439895979,Libba Bray,2011,Beauty Queens
3239,0525951113,Daniel Suarez,2006,"Daemon (Daemon, #1)"
3240,0446677124,Scott Turow,1990,The Burden of Proof
3241,,Leigh Bardugo,2016,"Crooked Kingdom (Six of Crows, #2)"
3242,0375714383,Joy Adamson,1960,"Born Free: A Lioness of Two Worlds (Story of Elsa, #1)"
3243,0679767800,"Alfred Bester, Neil Gaiman",1955,The Stars My Destination
3244,0439968089,Tamora Pierce,2004,"Trickster's Choice (Daughter of the Lioness, #1)"
3245,0062224735,Rosamund Hodge,2014,"Cruel Beauty (Cruel Beauty Universe, #1)"
3246,0553572989,Dan Simmons,1997,"The Rise of Endymion (Hyperion Cantos, #4)"
3247,0553572946,Dan Simmons,1996,"Endymion (Hyperion Cantos, #3)"
3248,0734406940,Shaun Tan,2006,The Arrival
3249,0385743602,Brandon Sanderson,2016,"Calamity (The Reckoners, #3)"
3250,0786891076,Steve Martin,2000,Shopgirl
3251,,مصطفى محمود,1974,حوار مع صديقي الملحد
3252,0451528646,Mark Twain,1876,The Adventures of Tom Sawyer & Adventures of Huckleberry Finn
3253,0307596907,Claire Messud,2013,The Woman Upstairs
3254,0060842350,Christopher Moore,2004,"The Stupidest Angel: A Heartwarming Tale of Christmas Terror (Pine Cove, #3)"
3255,0743451503,F. Scott Fitzgerald,1922,The Beautiful and Damned
3256,0192833723,"Augustine of Hippo, Henry Chadwick, Albert Cook Outler",397,Confessions
3257,0001101875895,Kent Haruf,2015,Our Souls at Night
3258,0515130389,Nora Roberts,2000,Carolina Moon
3259,0001594486247,Cathy Marie Buchanan,2012,The Painted Girls
3260,,Chanda Hahn,2011,"UnEnchanted (An Unfortunate Fairy Tale, #1)"
3261,,Sarah Silverman,2010,"The Bedwetter: Stories of Courage, Redemption, and Pee"
3262,0393332144,Patricia Highsmith,1955,"The Talented Mr. Ripley (Ripley, #1)"
3263,0802720870,Simone Elkeles,2011,"Chain Reaction (Perfect Chemistry, #3)"
3264,0440164842,James Clavell,1981,"Noble House (Asian Saga, #5)"
3265,0843955287,Christine Feehan,1999,"Dark Prince (Dark, #1)"
3266,,Masashi Kishimoto,2008,NARUTO -ナルト- 巻ノ四十三
3267,0316216852,Lauren Beukes,2013,The Shining Girls
3268,0393061728,Diane Ackerman,2007,The Zookeeper's Wife
3269,0812998685,David Mitchell,2015,Slade House
3270,0316253014,Chris Hadfield,2013,An Astronaut's Guide to Life on Earth
3271,000006121468X,Melissa Marr,2008,"Ink Exchange (Wicked Lovely, #2)"
3272,,"أحلام مستغانمي, Ahlam Mosteghanemi",2009,com نسيان
3273,0099468190,John Grisham,2003,Bleachers
3274,0007158491,Dr. Seuss,1963,Hop On Pop
3275,0439682584,"J.K. Rowling, Mary GrandPré",2003,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)"
3276,0142406147,Anthony Horowitz,2002,"Skeleton Key (Alex Rider, #3)"
3277,0440236738,Harlan Coben,2002,Gone for Good
3278,0006498868,Robin Hobb,1999,"The Mad Ship (Liveship Traders, #2)"
3279,0590414275,"Joanna Cole, Bruce Degen",1989,"Inside the Human Body (The Magic School Bus, #3)"
3280,0446611638,Michael Connelly,2003,"Lost Light (Harry Bosch, #9; Harry Bosch Universe, #11)"
3281,0545522250,"Holly Black, Cassandra Clare",2014,"The Iron Trial (Magisterium, #1)"
3282,000044042321X,"Daniel Abraham, George R.R. Martin, Tommy Patterson",2011,"A Game of Thrones: The Graphic Novel, Vol. 1"
3283,0061728918,Candace Bushnell,2010,"The Carrie Diaries (The Carrie Diaries, #1)"
3284,0671042572,Bret Lott,1991,Jewel
3285,0062300806,Veronica Roth,2013,"The World of Divergent: The Path to Allegiant (Divergent, #2.5)"
3286,0842329218,"Tim LaHaye, Jerry B. Jenkins",1996,"Tribulation Force (Left Behind, #2)"
3287,000014311638X,Michael Pollan,2008,Food Rules: An Eater's Manual
3288,,خولة حمدي,2012,في قلبي أنثى عبرية
3289,0060093366,Ellen Schreiber,2003,"Vampire Kisses (Vampire Kisses, #1)"
3290,0312577214,Kristin Hannah,2013,"Fly Away (Firefly Lane, #2)"
3291,0756402972,Tad Williams,1990,"Stone of Farewell (Memory, Sorrow, and Thorn, #2)"
3292,0517203383,"Adrian Conan Doyle, John Dickson Carr",1954,The Exploits of Sherlock Holmes
3293,0812976185,Anna Quindlen,1994,One True Thing
3294,0001609452232,"Elena Ferrante, Ann Goldstein",2013,Those Who Leave and Those Who Stay (The Neapolitan Novels #3)
3295,0001841493147,Trudi Canavan,2002,"The Novice (Black Magician Trilogy, #2)"
3296,0316016381,Joshua Ferris,2007,Then We Came to the End
3297,000098836946X,Monica  Murphy,2013,"One Week Girlfriend (One Week Girlfriend, #1)"
3298,0553575651,Robin Hobb,2000,"Ship of Destiny (Liveship Traders, #3)"
3299,000140911399X,Maeve Binchy,2012,A Week in Winter
3300,0385536073,John Grisham,2012,Calico Joe
3301,0001591163293,"Hisaya Nakajo, David Ury",1997,"Hana-Kimi, Vol. 1 (Hana-Kimi, #1)"
3302,0765343436,Juliet Marillier,1999,"Daughter of the Forest  (Sevenwaters, #1)"
3303,0399229191,Eric Carle,1984,The Very Busy Spider
3304,0009991373764,Judy Blume,1978,Freckle Juice
3305,0001591843162,Seth Godin,2010,Linchpin: Are You Indispensable?
3306,0517266555,Rudyard Kipling,1902,Just So Stories
3307,0767913736,Candice Millard,2005,The River of Doubt: Theodore Roosevelt's Darkest Journey
3308,0312421702,"Atul Gawande, Susanne Kuhlmann-Krieg",2002,Complications: A Surgeon's Notes on an Imperfect Science
3309,000045146365X,Jim Butcher,2010,"Side Jobs: Stories from the Dresden Files (The Dresden Files, #12.5)"
3310,0374521344,"Roland Barthes, Richard Howard",1980,Camera Lucida: Reflections on Photography
3311,000080411109X,Amy Tan,1995,The Hundred Secret Senses
3312,0778317706,Mary Kubica,2015,Pretty Baby
3313,0385524943,Andrew Davidson,2008,The Gargoyle
3314,0060593083,Neal Stephenson,2003,"Quicksilver (The Baroque Cycle, #1)"
3315,0001250040159,"Elizabeth  Smart, Chris Stewart",2013,My Story
3316,0810959259,"Michael Buckley, Peter Ferguson",2005,"The Fairy-Tale Detectives (The Sisters Grimm, #1)"
3317,0552144290,"Terry Pratchett, Stephen Briggs",1996,Mort: The Play
3318,0001596435690,Caragh M. O'Brien,2010,"Birthmarked (Birthmarked, #1)"
3319,0061231150,"Derek Landy, Tom Percival",2007,"Skulduggery Pleasant (Skulduggery Pleasant, #1)"
3320,0156717204,Andy Warhol,1975,The Philosophy of Andy Warhol (From A to B and Back Again)
3321,0141185260,Vladimir Nabokov,1962,Pale Fire
3322,0452285453,Tracy Chevalier,2003,The Lady and the Unicorn
3323,0140439056,"Charles Dickens, Michael Slater",1843,A Christmas Carol and Other Christmas Writings
3324,0385351836,B.J. Novak,2014,One More Thing: Stories and Other Stories
3325,0552144320,"Terry Pratchett, Stephen Briggs",1997,Men at Arms: The Play
3326,0451227190,Rachel Caine,2009,"Carpe Corpus (The Morganville Vampires, #6)"
3327,0007491433,Nathan Filer,2013,The Shock of the Fall
3328,0062220969,Madeleine Roux,2013,"Asylum (Asylum, #1)"
3329,0385540353,Margaret Atwood,2015,The Heart Goes Last
3330,0060788194,Kim Harrison,2006,"A Fistful of Charms (The Hollows, #4)"
3331,0001590521196,John Piper,1986,Desiring God: Meditations of a Christian Hedonist
3332,0316213101,Holly Black,2013,The Coldest Girl in Coldtown
3333,0446615129,Carl Hiaasen,2004,Skinny Dip
3334,0001451693591,Alice Hoffman,2015,The Marriage of Opposites
3335,0547386079,Jonah Lehrer,2012,Imagine: How Creativity Works
3336,0451224639,Rachel Caine,2008,"Feast of Fools (The Morganville Vampires, #4)"
3337,0001442423684,Neal Shusterman,2012,"UnWholly (Unwind, #2)"
3338,0316156116,David Foster Wallace,2005,Consider the Lobster and Other Essays
3339,0001423128192,Eoin Colfer,2010,"The Atlantis Complex (Artemis Fowl, #7)"
3340,0345422406,Anne Rice,2000,Merrick (The Vampire Chronicles #7)
3341,,Brandon Sanderson,2016,"The Bands of Mourning (Mistborn, #6)"
3342,0679733736,"Albert Camus, Justin O'Brien",1942,The Myth of Sisyphus and Other Essays
3343,0345532740,Lauren Graham,2013,"Someday, Someday, Maybe"
3344,0486275507,Robert Frost,1916,The Road Not Taken and Other Poems
3345,0062348671,Becky Albertalli,2015,Simon vs. the Homo Sapiens Agenda
3346,000014043478X,"Elizabeth Gaskell, Pam Morris",1866,Wives and Daughters
3347,0001419704281,A.G. Howard,2013,"Splintered (Splintered, #1)"
3348,0395181569,Virginia Lee Burton,1942,The Little House
3349,0684826801,"Primo Levi, Stuart J. Woolf, Philip Roth",1947,Survival in Auschwitz
3350,0001423104870,Cinda Williams Chima,2007,"The Wizard Heir (The Heir Chronicles, #2)"
3351,0812972120,"Jules Verne, Caleb Carr, Jordan Stump",1874,"The Mysterious Island (Extraordinary Voyages, #12)"
3352,000014029628X,Susan Vreeland,1999,Girl in Hyacinth Blue
3353,000067166154X,William Steig,1969,Sylvester and the Magic Pebble
3354,000184737459X,Philippa Gregory,2011,"The Lady of the Rivers (The Plantagenet and Tudor Novels, #1)"
3355,0525952063,Harlan Coben,2011,Live Wire (Myron Bolitar #10)
3356,0767927567,"Carolyn Jessop, Laura Palmer",2007,Escape
3357,000044653109X,David Baldacci,2006,"The Collectors (Camel Club, #2)"
3358,0330316117,Douglas Adams,1986,The Hitchhiker's Guide to the Galaxy: A Trilogy in Four Parts
3359,0575058080,Terry Pratchett,1995,"Maskerade (Discworld, #18; Witches #5)"
3360,0345348656,Stephen R. Donaldson,1977,"Lord Foul's Bane (The Chronicles of Thomas Covenant the Unbeliever, #1)"
3361,0684852861,"Marcus Buckingham, Curt Coffman",1998,"First, Break All the Rules: What the World's Greatest Managers Do Differently"
3362,0552154180,Terry Pratchett,1998,"The Last Continent (Discworld, #22; Rincewind #6)"
3363,0679882812,Dr. Seuss,1963,Dr. Seuss's ABC: An Amazing Alphabet Book! (Bright and Early Board Books)
3364,0060512636,"Thornton Wilder, Donald Margulies, Tappan Wilder",1938,Our Town
3365,0061566152,Sara Shepard,2010,"Heartless (Pretty Little Liars, #7)"
3366,0316734950,Michael Connelly,2006,"Echo Park (Harry Bosch, #12; Harry Bosch Universe, #14)"
3367,0446522597,David Baldacci,1997,The Winner
3368,0001442465956,Emily Carroll,2014,Through the Woods
3369,0142407380,Anthony Horowitz,2005,"Ark Angel (Alex Rider, #6)"
3370,0003522168577,Michael Ende,1973,Momo
3371,,Blake Crouch,2014,"The Last Town (Wayward Pines, #3)"
3372,0451474708,Sarah Dessen,2015,Saint Anything
3373,0385350287,Ayana Mathis,2012,The Twelve Tribes of Hattie
3374,0553584502,Dean Koontz,2004,The Taking
3375,0671729454,V.C. Andrews,1981,"If There Be Thorns (Dollanganger, #3)"
3376,0399214577,"Jane Yolen, John Schoenherr",1987,Owl Moon
3377,0812966937,"Fyodor Dostoyevsky, Constance Garnett, Gary Saul Morson",1866,The Gambler
3378,0441020011,Patricia Briggs,2013,"Frost Burned (Mercy Thompson, #7)"
3379,000039397166X,Honoré de Balzac,1834,Père Goriot
3380,0061655503,"Jo Nesbø, Don Bartlett",2002,"Nemesis (Harry Hole, #4)"
3381,0808595040,"Sylvia Plath, Ted Hughes",1981,The Collected Poems
3382,0312992424,Sherrilyn Kenyon,2004,"Night Play (Dark-Hunter #5, Were-Hunter #1)"
3383,,Paulo Coelho,2010,Aleph
3384,,R.L. Mathewson,2011,"Perfection (Neighbor from Hell, #2)"
3385,0670021253,Andrew Ross Sorkin,2008,Too Big to Fail: The Inside Story of How Wall Street and Washington Fought to Save the Financial System from Crisis — and Themselves
3386,0345467531,Kristin Hannah,2006,Magic Hour
3387,0143039482,"John Steinbeck, Susan Shillinglaw",1961,The Winter of Our Discontent
3388,0679732187,William Faulkner,1936,"Absalom, Absalom!"
3389,0141357274,"Zoe Sugg, Siobhan Curham",2014,"Girl Online (Girl Online, #1)"
3390,0001416940286,Carol Ryrie Brink,1935,Caddie Woodlawn  (Caddie Woodlawn #1)
3391,0345542967,Janet Evanovich,2015,"Tricky Twenty-Two (Stephanie Plum, #22)"
3392,000083081650X,J.I. Packer,1973,Knowing God
3393,0786938250,R.A. Salvatore,1990,"The Halfling's Gem (Forgotten Realms: Icewind Dale, #3; Legend of Drizzt, #6)"
3394,0525950608,Harlan Coben,2008,Hold Tight
3395,0001563892049,"Neil Gaiman, Marc Hempel, Richard Case, D'Israeli, Teddy Kristiansen, Glyn Dillon, Charles Vess, Dean Ormston, Kevin Nowlan, Todd Klein, Frank McConnell",1996,The Kindly Ones (The Sandman #9)
3396,0001563891700,"Neil Gaiman, Mike Allred, Gary Amaro, Mark Buckingham, David Giordano, Tony Harris, Steve Leialoha, Vince Locke, Shea Anton Pensa, Alec Stevens, Bryan Talbot, John Watkiss, Todd Klein, Michael Zulli, Stephen King",1995,Worlds' End (The Sandman #8)
3397,0140013083,John Wyndham,1955,The Chrysalids
3398,000068815932X,"Hans Christian Andersen, Jerry Pinkney",1843,The Ugly Duckling
3399,0001878424440,Miguel Ruiz,1999,The Mastery of Love: A Practical Guide to the Art of Relationship --Toltec Wisdom Book
3400,0099478447,"Graham Greene, Monica Ali",1951,The End of the Affair
3401,000145161781X,Jennifer Weiner,2015,Who Do You Love
3402,000067166607X,"Felix Salten, Barbara Cooney",1923,Bambi
3403,0060512741,Ursula K. Le Guin,1971,The Lathe of Heaven
3404,0140449086,"Herodotus, Aubrey de Sélincourt, John M. Marincola",-440,The Histories
3405,,K. Bromberg,2013,"Driven (Driven, #1)"
3406,000034549038X,Matthew Pearl,2003,The Dante Club
3407,0553382616,Jean M. Auel,2002,"The Shelters of Stone (Earth's Children, #5)"
3408,000044101738X,Patricia Briggs,2009,"Hunting Ground (Alpha & Omega, #2)"
3409,0061750441,Paulo Coelho,2008,The Winner Stands Alone
3410,0449214192,James A. Michener,1974,Centennial
3411,0061779814,Kimberly Derting,2010,"The Body Finder (The Body Finder, #1)"
3412,0099481243,Ian McEwan,1997,Enduring Love
3413,0684802031,"Stephen R. Covey, A. Roger Merrill, Rebecca R. Merrill",1993,First Things First
3414,000141692499X,Anne McCaffrey,1976,"Dragonsong (Harper Hall, #1)"
3415,0374404143,Nancy Garden,1982,Annie on My Mind
3416,0061929379,Michael Crichton,2009,Pirate Latitudes
3417,0375724834,Jonathan Lethem,1999,Motherless Brooklyn
3418,0552555703,Malorie Blackman,2001,"Noughts & Crosses (Noughts & Crosses, #1)"
3419,0486419312,Harriet Jacobs,1861,Incidents in the Life of a Slave Girl
3420,0385735359,Michael Scott,2012,"The Enchantress (The Secrets of the Immortal Nicholas Flamel, #6)"
3421,0001594202664,Ron Chernow,2010,Washington: A Life
3422,,Kristen Proby,2012,"Come Away with Me (With Me in Seattle, #1)"
3423,0060763280,T. Harv Eker,2005,Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth
3424,0312624697,C.C. Hunter,2012,"Taken at Dusk (Shadow Falls, #3)"
3425,0003423124172,"Michael Chabon, Hans Hermann",1995,Wonder Boys
3426,,Molly McAdams,2012,"Taking Chances (Taking Chances, #1)"
3427,0307700003,Julie Otsuka,2011,The Buddha in the Attic
3428,000055337933X,Tom Robbins,2000,Fierce Invalids Home from Hot Climates
3429,0385538499,Jennifer McMahon,2014,The Winter People
3430,0061869708,Sara Shepard,2010,"The Lying Game (The Lying Game, #1)"
3431,000034545894X,Tess Gerritsen,2004,"Body Double (Rizzoli & Isles, #4)"
3432,000147675361X,Marina Keegan,2014,The Opposite of Loneliness: Essays and Stories
3433,0670021482,"Paolo Giordano, Shaun Whiteside",2008,The Solitude of Prime Numbers
3434,,Nicole  Williams,2012,"Clash (Crash, #2)"
3435,0062224077,"Neil Gaiman, Skottie Young",2013,"Fortunately, the Milk"
3436,000078519021X,"G. Willow Wilson, Adrian Alphona",2014,"Ms. Marvel, Vol. 1: No Normal"
3437,0425212866,Nalini Singh,2006,Slave to Sensation (Psy-Changeling #1)
3438,,أثير عبدالله النشمي,2013,فلتغفري
3439,0142403709,Gennifer Choldenko,2004,"Al Capone Does My Shirts (Al Capone at Alcatraz, #1)"
3440,0061558222,"Guillermo del Toro, Chuck Hogan",2009,"The Fall (The Strain Trilogy, #2)"
3441,0545424984,Maggie Stiefvater,2016,"The Raven King (The Raven Cycle, #4)"
3442,0449010880,"Pamela Druckerman, Abby Craden",2012,Bringing Up Bébé: One American Mother Discovers the Wisdom of French Parenting
3443,0425192733,Patricia Cornwell,2002,Portrait of a Killer: Jack the Ripper - Case Closed
3444,0060824972,Megan Whalen Turner,1996,"The Thief (The Queen's Thief, #1)"
3445,0758216416,Richelle Mead,2007,"Succubus Blues (Georgina Kincaid, #1)"
3446,0755379284,Sarah Winman,2011,When God Was a Rabbit
3447,0473235501,Lang Leav,2013,Love & Misadventure
3448,0001434767957,"Francis Chan, Danae Yankoski",2009,Forgotten God: Reversing Our Tragic Neglect of the Holy Spirit
3449,0671023187,Vince Flynn,1997,Term Limits
3450,0060594667,Tom Franklin,2009,"Crooked Letter, Crooked Letter"
3451,0486422453,"Rainer Maria Rilke, Reginald Snell, Franz Xaver Kappus",1929,Letters to a Young Poet
3452,0064472795,Meg Cabot,2001,"Princess in the Spotlight (The Princess Diaries, #2)"
3453,0001250003326,Anna Banks,2012,"Of Poseidon (The Syrena Legacy, #1)"
3454,0312984820,Sherrilyn Kenyon,2002,Night Embrace (Dark-Hunter #2)
3455,0446696587,James Patterson,2003,"The Lake House (When the Wind Blows, #2)"
3456,0061340634,Ann Patchett,2007,Run
3457,0879234628,"Charles Baudelaire, Richard Howard",1857,Les Fleurs du Mal
3458,0345543068,"Janet Evanovich, Lee Goldberg",2013,"The Heist (Fox and O'Hare, #1)"
3459,0192838679,"Pierre-Ambroise Choderlos de Laclos, Douglas Parmée",1782,Les Liaisons dangereuses
3460,0486410226,E. Nesbit,1906,The Railway Children
3461,0001455566020,David Baldacci,2016,"The Last Mile (Amos Decker, #2)"
3462,000038561926X,Terry Pratchett,2011,"Snuff (Discworld, #39; City Watch #8)"
3463,0441020429,Ilona Andrews,2011,"Magic Slays (Kate Daniels, #5)"
3464,0060595183,Aldous Huxley,1956,The Doors of Perception & Heaven and Hell
3465,0440174244,Irwin Shaw,1969,"Rich Man, Poor Man"
3466,0062413864,Gilly Macmillan,2015,What She Knew
3467,0316069434,Michael Connelly,2012,"The Black Box (Harry Bosch, #18; Harry Bosch Universe, #22)"
3468,0425162443,Sheri Reynolds,1995,The Rapture of Canaan
3469,0060741872,Pat Frank,1959,"Alas, Babylon"
3470,0743499697,Vince Flynn,2000,"The Third Option (Mitch Rapp, #4)"
3471,0439846803,Kazu Kibuishi,2008,"The Stonekeeper (Amulet, #1)"
3472,0374515360,Flannery O'Connor,1971,The Complete Stories
3473,0001847386823,L.J. Smith,1991,"Dark Visions (Dark Visions, #1-3)"
3474,0425265625,Anthony  Ryan,2014,"Tower Lord (Raven's Shadow, #2)"
3475,0312380720,Lisa Scottoline,2009,Look Again
3476,0001573226882,Nick Hornby,1992,Fever Pitch
3477,0008466302948,Anne Rice,1998,"Pandora (New Tales of the Vampires, #1)"
3478,0345533623,Kevin Hearne,2012,"Tricked (The Iron Druid Chronicles, #4)"
3479,0001416521690,Sister Souljah,1999,The Coldest Winter Ever
3480,0834800799,Shunryu Suzuki,1970,"Zen Mind, Beginner's Mind: Informal Talks on Zen Meditation and Practice"
3481,0553448188,"Han Kang, Deborah     Smith",2007,The Vegetarian
3482,0805211063,"Franz Kafka, Mark Harman, Regaip Minareci, Şerif Yeşilbucak",1926,The Castle
3483,0425256855,Mark  Lawrence,2013,"Emperor of Thorns (The Broken Empire, #3)"
3484,0001605977276,Jonathan Swift,1729,A Modest Proposal
3485,0307265773,Sam Harris,2006,Letter to a Christian Nation
3486,000006172081X,L.J. Smith,2010,"Shadow Souls (The Vampire Diaries: The Return, #2)"
3487,0670060291,Susane Colasanti,2006,When It Happens
3488,0375756787,Edmund Morris,1979,The Rise of Theodore Roosevelt
3489,0553562738,Connie Willis,1992,"Doomsday Book (Oxford Time Travel, #1)"
3490,0001455521191,David Baldacci,2014,"The Escape (John Puller, #3)"
3491,0812994523,Bryan Stevenson,2014,Just Mercy: A Story of Justice and Redemption
3492,0552148067,David Eddings,1991,"The Seeress of Kell (The Malloreon, #5)"
3493,0446520594,Brian L. Weiss,1988,"Many Lives, Many Masters: The True Story of a Prominent Psychiatrist, His Young Patient, and the Past Life Therapy That Changed Both Their Lives"
3494,0316225932,Michael Connelly,2014,"The Burning Room (Harry Bosch, #19; Harry Bosch Universe, #24)"
3495,0385512058,Keith Ferrazzi,2005,"Never Eat Alone: And Other Secrets to Success, One Relationship at a Time"
3496,0061783188,Jeaniene Frost,2011,"This Side of the Grave (Night Huntress, #5)"
3497,0679889175,Tamora Pierce,1999,"First Test (Protector of the Small, #1)"
3498,0670070297,Melina Marchetta,2006,On the Jellicoe Road
3499,0395530075,"Kimon Nicolaides, Mamie Harmon",1941,The Natural Way to Draw
3500,000088038672X,R.A. Salvatore,1989,"Streams of Silver (Forgotten Realms: Icewind Dale, #2; Legend of Drizzt, #5)"
3501,0345475690,Lorna Landvik,2003,Angry Housewives Eating Bon Bons
3502,000076366040X,"Kate DiCamillo, K.G. Campbell",2013,Flora and Ulysses: The Illuminated Adventures
3503,000140130866X,Cecelia Ahern,2005,If You Could See Me Now
3504,0061159174,Edward P. Jones,2003,The Known World
3505,0141186356,James     Baldwin,1956,Giovanni's Room
